text,neutral,positive,negative,narrator,y
σκωθηκαν και σκολνούν τη σύναξη στ᾿ Αργίτικα καράβια.,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]"
Και τράβηξε ο Αχιλλέας για τ᾿ άρμενα τα καλοζυγιασμένα,0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"και τα καλύβια, με τον Πάτροκλο μαζί και τους συντρόφους.",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
"Κι ο γιος του Ατρέα γοργό στη θάλασσα καράβι λέει και ρίχνουν,",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]"
"διαλέει και λαμνοκόπους είκοσι, πλήθια σφαχτά φορτώνει",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]"
για το θεό᾿ τη ροδομάγουλη μετά τη Χρυσοπούλα,0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
καθίζει. Μπήκε κι ο πολύγνωμος να κυβερνά Οδυσσέας.,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
Μπήκαν λοιπόν αυτοί κι αρμένιζαν στης θάλασσας τις στράτες!,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"κι ο γιος του Ατρέα το ασκέρι πρόσταξε να ξαγνιστεί, κι εκείνοι",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"λούζονταν, κι όλα τ᾿ απονίμματα μες στο γιαλό τα ρίχναν,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
και στον Απόλλωνα αψεγάδιαστα ταυριά και γίδια έσφαζαν,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"πολλά, στης άκαρπης της θάλασσας μπροστά το γυρογιάλι'",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
κι η κνίσα ανέβαινε στρουφίζοντας με τον καπνό στα ουράνια.,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Τούτοι έτσι εμόχτουν ο Αγαμέμνονας δεν παρατούσε ωστόσο,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
την όχτρητα και τι φοβέρισε στον Αχιλλέα να κάνει',0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"κι ευτύς τον Ευρυβάτη εφώναξε και τον Ταλθύβιο ομπρός του,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
τους δυο διαλάληδες και πρόθυμους παραστεκάμενούς του:,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
«Για συρτέ στου Αχιλλέα και γρήγορα κρατώντας τη απ΄ το χέρι,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
φέρτε μου εδώ τη ροδομάγουλη γυρνώντας Βρισοπούλα.,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"Κι αν δεν τη δώσει, εγώ με πιότερους Θα πάω και θα την πάρω",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
με αυτά τα χέρια μου᾿ βαρύτερα θα το πλερώσει τότε.»,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Ως είπε τούτα φοβερίζοντας, τους πρόσταξε να φύγουν,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι αυτοί στο κύμα δίπλα το άκαρπο γιαλό γιαλό τραβούσαν,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"αθέλητα τους, ως που στ᾿ άρμενα των Μυρμιδόνων φτάσαν.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Και τον πέτυχαν στο καράβι του σιμά και στο καλύβι,0.375,0.25,0.25,0.125,"[0.375, 0.25, 0.25, 0.125]"
"να κάθεται, κι ουδέ το χάρηκε να τους ιδεί μπροστά του.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"Κι εκείνοι εδείλιασαν και ντράπηκαν τον Αχιλλέα, κι αντίκρυ",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
στέκονταν κι ούτε τον χαιρέτιζαν κι ουδέ και τον ρωτούσαν.,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
Μ᾿ αυτός τι θέλαν το κατάλαβε και μίλησε τους πρώτος:,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"« Καλώς τους κράχτες, τους μαντάτορες του Δία και των ανθρώπων",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"ζυγώστε᾿ εσείς δε φταίτε τίποτα, μονάχα ο γιος του Ατρέα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
πού εδώ σας στέλνει να μου πάρετε την ώρια Βρισοπούλα.,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"Πάτροκλε, εμπρός, αρχοντογέννητε, βγάλε και δώσ᾿ την κόρη",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
να τήνε πάρουν κι οι διαλάληδες μαρτύροι ας είναι ετούτοι,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"μπρος στους τρισμάκαρους αθάνατους, μπρος στους θνητούς ανθρώπους",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"και μπρος στο βασιλιά τον άκαρδο, τη μέρα που θα μ᾿ έχουν",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"τυχόν ανάγκη, πάλε από άδικο χαμό να ξεγλιτώσω",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
τους άλλους· τι έχει εκείνος μέσα του κατάρα δίχως άλλο,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"και ξεφρενιάζει, κι ουδέ δύνεται να ιδεί μπροστά και πίσω,",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
πώς δίπλα στα καράβια ανέβλαβος θα πολεμά ο στρατός του.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Είπε, κι ο Πάτροκλος του ακράνη του συναγρικάει το λόγο,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι απ᾿ το καλύβι την πανέμνοστη τη Βρισοπούλα βγάζει,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
"και τους τη δίνει· δίπλα στ᾿ άρμενα το δρόμο εκείνοι επήραν,",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
κι η κόρη αθέλητα της πήγαινε μαζί τους. Δακρυσμένος,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
τότε ο Αχιλλέας απ᾿ τους συντρόφους του μακραίνει και καθίζει,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"μπρος στον ψαρή γιαλό, το απέραντο το πέλαγο θωρώντας,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
κι απλώνοντας τα χέρια ευκήθηκε στην ακριβή του μάνα:,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"« Μάνα μου, τόσο αφού με γέννησες λιγόχρονο, και να 'ταν",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"ο Ολύμπιος Δίας τιμή να μου 'δινεν, ο αψηλοβροντολάλος!",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
Μ᾿ αυτός ουδέ μια στάλα μου 'δειξε τιμή την ώρα ετούτη᾿,0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"τι ο πρωταφέντης Αγαμέμνονας, ο μέγας γιος του Ατρέα,",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"δε με σεβάστη, μόνο μου άρπαζε το αρχοντομοίρι ατός του.»",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"Είπε θρηνώντας, και τον άκουσεν η σεβαστή του η μάνα,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"που πλάι στο γέρο κύρη εκάθουνταν, στα βάθη του πελάγου,",0.25,0.5,0.125,0.125,"[0.25, 0.5, 0.125, 0.125]"
"κι απ᾿ το ψαρί το κύμα επρόβαλε με βιάση, σαν αντάρα,",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"και στον υιό της που 'κλαιεν έτρεξε και κάθισε μπροστά του,",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
και με το χέρι της τον χάιδεψε κι έτσι μιλάει και κρένει:,0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"« Τι κλαις, παιδί μου; ποιος σου τάραξε καημός τα σπλάχνα τώρα;",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"Μίλα ανοιχτά, κι οι δυο να ξέρουμε, μην το κρατάς κρυμμένο.»",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
Βαριά βογγώντας ο φτερόποδος απάντησε Αχιλλέας:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"« Τα ξέρεις᾿ τι τα θες τα λόγια μου, μια και τα ξέρεις όλα;",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Στη Θήβα, στου Ηετίωνα πήγαμε την πολιτεία την άγια,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"κι αφού την πήραμε, τα κούρσα μας εδώ τα φέραμε όλα.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"Κι οι γιοι των Αχαιών, ως ταίριαζε, καθώς τα διαμοίραζαν,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
στο γιο του Ατρέα τη ροδομάγουλη χάρισαν Χρυσοπούλα.,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"Μα ο Χρύσης, ο ιερέας του Απόλλωνα του μακροσαγιτάρη,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
στων Αχαιών τα πλοία τα γρήγορα των χαλκοθωρακάτων,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"με λύτρα αρίφνητα, την κόρη του να λευτερώσει, φτάνει,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
του μακροσαγιτάρη Απόλλωνα κρατώντας τα στεφάνια,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"πα στο χρυσό ραβδί, και πρόσπεφτε μπρος στους Αργίτες όλους,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
ξεχωριστά στους δυο πολέμαρχους υγιούς του Ατρέα γυρνώντας.,0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
Οι Αργίτες οι άλλοι ευτύς με μια φωνή να σεβαστούν έκραξαν,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"το λειτουργό, και τα περίλαμπρα ν᾿ αποδεχτούνε δώρα'",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"όμως του Ατρείδη του Αγαμέμνονα δεν άρεσε η βουλή τους,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
μόν᾿ τον κακόδιωχνε και του 'ριχνε βαριά φοβέρα ακόμα.,0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"Όλο θυμό τα πίσω ο γέροντας γυρνάει, κι ο Φοίβος τότε",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"την προσευκή του ευτύς επάκουσε, τι στην καρδιά τον είχε.",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Φαρμακερές σαγίτες έριχνε στους Αχαιούς, κι εκείνοι",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"πέθαιναν πανωτά, και χύνουνταν οι θεϊκές σαγίτες",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
απ᾿ άκρη σ᾿ άκρη μες στ᾿ Αργίτικα φαρδιά λημέρια. Τότε,0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
"μας είπε τη βουλή, ως την κάτεχε, του Μακρορίχτη ο μάντης.",0.5,0.125,0.375,0.0,"[0.5, 0.125, 0.375, 0.0]"
"Εγώ του Φοίβου να προσπέσουμε παρακινώ τους πρώτος,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"μα σύγκλυσε τον Αγαμέμνονα θυμός, κι ολόρθος τότε",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"πετιέται και φοβέρα μου 'ριξε, που κιόλας έχει γένει᾿",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
τι εκείνη οι Αργίτες οι αστρομάτηδες με γρήγορο καράβι,0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"την παν στη Χρύσα, και δοσίματα για το θεό φόρτωσαν",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"όμως την άλλη, αυτήν που μου 'δωκαν οι Αργίτες, μου την πήραν,",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"τη Βρισοπούλα, απ᾿ το καλύβι μου λίγη ώρα πριν οι κράχτες.",0.125,0.125,0.75,0.0,"[0.125, 0.125, 0.75, 0.0]"
"Τώρα αν εσύ μπορείς, διαφέντεψε τον αντρειωμένο γιο σου᾿",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"σύρε στον Όλυμπο και πρόσπεσε στο Δία, καμιάν ως τώρα",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
φορά του Δία τα σπλάχνα αν εύφρανες με λόγο για με πράξη',0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
τι σ᾿ άκουσα συχνά στου κύρη μου το σπίτι να παινιέσαι,0.25,0.375,0.25,0.125,"[0.25, 0.375, 0.25, 0.125]"
"και να μας λες, το μαυροσύγνεφο του Κρόνου υγιό μονάχη",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"μες στους αθάνατους πως γλίτωσες από περίσσια πάθη,",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"τότε που θέλαν οι άλλοι του Ολύμπου θεοί να τόνε δέσουν,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"ο Ποσειδώνας, η Ήρα κι η Αθηνά μαζί τους η Παλλάδα.",0.25,0.375,0.25,0.125,"[0.25, 0.375, 0.25, 0.125]"
"Μα ήρθες εσύ και τον λευτέρωσες, θεά, από τα δεσμά του,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
τον Εκατόχερο φωνάζοντας στ᾿ ακρόκορφα του Ολύμπου᾿,0.0,0.625,0.25,0.125,"[0.0, 0.625, 0.25, 0.125]"
οι θεοί τον κράζουν Πολυδύναμο κι οι άνθρωποι από την άλλη,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"Αιγαίωνα, τι περνάει στη δύναμη και το γονιό του ακόμα.",0.125,0.5,0.25,0.125,"[0.125, 0.5, 0.25, 0.125]"
"Κάθισε τότε καμαρώνοντας τη δύναμη του, δίπλα",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"στο Δία, κι οι τρισμακάριοι εζάρωσαν θεοί και δεν τον δέσαν.",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"Ολα εσύ τώρα αυτά καθίζοντας σιμά του θύμισε του,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"τα γόνατα του πιάσε, αν θα 'θελε στους Τρώες να δώσει χέρι,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
και τους Αργίτες πλάι στη θάλασσα κι ομπρός στα πλοία να κλείσει,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"ματοκυλώντας τους, το ρήγα τους για να τον χαίρουνται όλοι᾿",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"κι ο πρωταφέντης Αγαμέμνονας, ο γιος του Ατρέα, να νιώσει",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"την τύφλα του, που καταφρόνεσε τον πρώτο απ᾿ τους Αργίτες.»",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
Κι η Θέτη ευτύς του απηλογήθηκε στα δάκρυα βουτημένη:,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"« Ωχού, παιδί μου, τι σε ανάσταινα, τον πικρογεννημένο!",0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
"Ας ήταν άβλαβος κι αδάκρυτος στ᾿ άρμενα πλάι να μένεις,",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
έτσι που η Μοίρα λίγο σου 'γραψε κι όχι πολύ να ζήσεις.,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
Μ᾿ αντάμα τώρα και λιγόχρονος κι ο πιο δυστυχισμένος,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
απ᾿ όλους είσαι. Μαύρη κι άραχλη που σε γεννούσα η μοίρα!,0.0,0.0,1.0,0.0,"[0.0, 0.0, 1.0, 0.0]"
Τούτα στο Δία τον κεραυνόχαρο να πω θ᾿ ανέβω ατή μου,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"στο χιονοσκέπαστο τον Όλυμπο, μπορεί και να μ᾿ ακούσει.",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
Μα τώρα εσύ στα γοργοτάξιδα καθούμενος καράβια,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"με τους Αργίτες βάστα μάνητα, μην πολεμάς καθόλου᾿",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"τι ο Δίας επήγε χτες στους άψεγους Αιθίοπες καλεσμένος,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"στον Ωκεανό μακριά, κι οι αθάνατοι τον ακλουθηξαν όλοι.",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"Ομως ξανά σε μέρες δώδεκα στον Όλυμπο θα γύρει,",0.375,0.125,0.5,0.0,"[0.375, 0.125, 0.5, 0.0]"
και τότε εγώ στο χαλκοκάτωφλο παλάτι του θ᾿ ανέβω,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"και θα προσπέσω ομπρός στα πόδια του, και λέω πώς θα μ᾿ ακούσει.»",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Σα μίλησε έτσι, ασκώθη κι έφυγε, κει πέρα αφήνοντας τον",0.25,0.125,0.625,0.0,"[0.25, 0.125, 0.625, 0.0]"
"όλο θυμό, που την ωριόζωστη γυναίκα του 'χαν πάρει",0.0,0.125,0.875,0.0,"[0.0, 0.125, 0.875, 0.0]"
"μεβιάς, αθέλητα του. Ζύγωνε στη Χρύσα το καράβι᾿",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"ωστόσο του Οδυσσέα, τ᾿ αγιάτικα σφαχτά που κουβαλούσε.",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
"Κι όταν εκείνοι στο πολύβαθο λιμάνι μέσα εμπήκαν,",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"μάζεψαν τα πανιά, τ᾿ απόθεσαν στο μελανό καράβι,",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
λύσαν τα ξάρτια και στο δίκρανο πλάγιασαν το κατάρτι,0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"με δίχως ξάργητα, και λάμνοντας το άραξοβόλι πιάνουν.",0.5,0.25,0.25,0.0,"[0.5, 0.25, 0.25, 0.0]"
"Όξω πετούν τις αγκυρόπετρες και την πρυμάτσα δένουν,",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"όξω κι εκείνοι στο γυρόγιαλο της θάλασσας εβγήκαν,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"όξω και τα σφαχτά του Απόλλωνα του μακρορίχτη έβγαλαν,",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
όξω απ᾿ το πλοίο το πελαγόδρομο κι η Χρυσοπούλα εβγήκε.,0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
Τότε ο Οδυσσέας ό πολυκάτεχος μπρος στο βωμό τη φέρνει,0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
και την παράδωσε στου κύρη της τα χέρια λέγοντας του:,0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"«Χρύση, ο ρηγάρχης Αγαμέμνονας με στέλνει να σου δώσω",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"πίσω την κόρη, και να σφάξουμε περίσσια αρνιά στο Φοίβο,",0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"να ελεηθεί, αν θελήσει η χάρη του, τους Δαναούς, τι αλήθεια",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
με πίκρες έχει πολυστέναχτες ποτίσει τους Αργίτες.»,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Τούτα μιλώντας του την έδωκε, κι αυτός την κόρη εδέχτη",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
όλο χαρά᾿ κι εκείνοι γρήγορα τ᾿ αγιάτικα σφαχτάρια,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"στήσαν αράδα, στον καλόχτιστο βωμό του Φοίβου γύρω.",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"Κι ως χερονίφτηκαν κι εμοίρασαν τ᾿ αγιοκριθάρια, ο Χρύσης",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"βροντόφωνα, τα χέρια ασκώνοντας, για χάρη τους ευκήθη:",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"« Επάκουσε μου, ασημοδόξαρε, που κυβερνάς τη Χρύσα",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"και την τρισάγια Κίλλα, κι άσφαλτα την Τένεδο αφεντεύεις᾿",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
κι άλλη φορά πιο πριν συνάκουσες την προσευκή μου εμένα,0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
και μου 'δειξες τιμή παιδεύοντας ανήλεα τους Αργίτες',0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"όμοια και τώρα, αυτή μη μου αρνηθείς που σου ζητώ τη χάρη,",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
και τους Αργίτες απ᾿ τον άδικο χαμό πια γλίτωσε τους.»,0.0,1.0,0.0,0.0,"[0.0, 1.0, 0.0, 0.0]"
"Είπε, και την ευκή του επάκουσεν ο Απόλλωνας ο Φοίβος·",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
